1 AVE (L),1658101
103 ST (1),707
103 ST (6),936
103 ST (BC),323
103 ST-CORONA (7),12003
104 ST (JZ),143
110 ST (6),889
110 ST-CATHEDRL (1),758
110 ST-CPN (23),1279670
111 ST (7),713
111 ST (J),161
116 ST (23),686
116 ST (6),964
116 ST (BC),475
116 ST-COLUMBIA (1),1180283
121 ST (JZ),146
125 ST (1),589
125 ST (23),745
125 ST (456),1919
125 ST (ACBD),2147
135 ST (23),784
135 ST (BC),370
137 ST-CITY COL (1),891
138 ST-3 AVE (6),538
138 ST-GR CONC (45),240
14 ST (123FLM),1412
14 ST (ACEL),1505
14 ST-6 AVE (FLM123),598394
14 ST-UNION SQ (456LNQR),2656
14 ST-UNION SQ (LNQR456),5253
145 ST (1),716
145 ST (3),143
145 ST (ABCD),1888
148 ST-LENOX (3),297
149 ST-3 AVE (25),2707305
149 ST-GR CONC (245),894
14TH STREET (1),693
15 ST-PROSPECT (FG),350
155 ST (BD),233
155 ST (C),189
157 ST (1),702
161 ST-YANKEE (4BD),735
161 ST-YANKEE (BD4),2116832
163 ST-AMSTERDM (C),229
167 ST (4),758
167 ST (BD),560
168 ST-BROADWAY (1AC),870
168 ST-BROADWAY (AC1),751
169 ST (F),629
170 ST (4),618
170 ST (BD),43227
174 ST (25),587030
174-175 ST (BD),271
175 ST (A),763
176 ST (4),362
18 AVE (D),290
18 AVE (F),276
18 AVE (N),443
18 ST (1),796266
181 ST (1),912
181 ST (A),794
182-183 ST (BD),264
183 ST (4),373
190 ST (A),279
191 ST (1),665
2 AVE (F),1369
20 AVE (D),252
20 AVE (N),267
207 ST (1),363
21 ST (F),622
215 ST (1),106
219 ST (25),196
22 AVE-BAY PKY (F),83
225 ST (25),252
23 ST (1),1089
23 ST (6),1771
23 ST (CE),1538
23 ST-5 AVE (NR),1489
23 ST-6 AVE (FM),1828
231 ST (1),407
233 ST (25),286
238 ST (1),152
242 ST (1),395
25 AVE (D),221
25 ST (R),267
28 ST (1),937
28 ST (6),11366
28 ST-BROADWAY (NR),1011
3 AVE (L),449
33 ST (6),1950
33 ST/RAWSON ST (7),835
34 ST-HERALD SQ (BDFMNQR),8510
34 ST-PENN STA (123),2561
34 ST-PENN STA (123ACE),3466
34 ST-PENN STA (ACE),5880
36 ST (DNR),837
36 ST (MR),283
4 AVE (DFGMNR),410
40 ST-LOWERY ST (7),777
42 ST-BRYANT PK (BDFM7),2808
42 ST-GRD CNTRL (4567S),10440
42 ST-PA BUS TE (ACENGRS1237),1028
42 ST-PA BUS TE (ACENQRS1237),5202
42 ST-TIMES SQ (1237ACENQRS),6048
42 ST-TIMES SQ (ACENQRS1237),1067
45 ST (R),471
46 ST (MR),644
46 ST-BLISS ST (7),967
47-50 ST-ROCK (BDFM),4252
49 ST-7 AVE (NQR),1609
5 AVE-53 ST (EM),1850
5 AVE-59 ST (NQR),1257
5 AVE-BRYANT PK (7BDFM),24592
50 ST (1),1867
50 ST (CE),1373
50 ST (D),219
51 ST (6),1529
52 ST-LINCOLN (7),508
53 ST (R),413
55 ST (D),104
57 ST (F),1045
57 ST-7 AVE (NQR),1138
59 ST (456NQR),1500644
59 ST (NR),783
59 ST-COLUMBUS (1ABCD),998
59 ST-COLUMBUS (ABCD1),4130
6 AVE (FLM123),295
61 ST/WOODSIDE (7),1330
63 DR-REGO PARK (MR),909
65 ST (MR),240
66 ST-LINCOLN (1),1720
67 AVE (MR),520
68ST-HUNTER COL (6),2028
69 ST-FISK AVE (7),382
7 AV-PARK SLOPE (FG),551
7 AVE (BQ),687
7 AVE-53 ST (BDE),1315
71 ST (D),231
72 ST (123),2871
72 ST (BC),677
74 ST-BROADWAY (7EFMR),293
75 AVE (EF),151
77 ST (6),2448
77 ST (R),306
79 ST (1),978
79 ST (D),312
8 AVE (ACEL),1650
8 AVE (N),969
8 ST-B'WAY NYU (NR),1175
81 ST-MUSEUM (BC),964
82 ST-JACKSON H (7),1278
86 ST (1),1490
86 ST (456),4696
86 ST (BC),624
86 ST (N),134
86 ST (R),729
9 AVE (D),414
9 ST (DFGMNR),553
90 ST-ELMHURST (7),956
96 ST (123),3137
96 ST (6),1179
96 ST (BC),678
9TH STREET (1),8752
ALABAMA AVE (J),189
ALLERTON AVE (25),317
AQUEDUCT TRACK (A),91
AQUEDUCT-N CNDT (A),138
ASTOR PLACE (6),1337
ATLANTIC AVE (L),91
AVE H (BQ),196
AVE I (F),116
AVE J (BQ),342
AVE M (BQ),311
AVE N (F),214
AVE P (F),165
AVE U (BQ),366
AVE U (F),111
AVE U (N),289
AVE X (F),178
BARCLAYS CENTER (2345BDNQR),1495
BARCLAYS CENTER (BDNQR2345),1679
